Measurement #,Actual Engine Torque Static at Clutch (Nm),Air Temperature Sensor Voltage[HFM] (V),Air Temperature Sensor Voltage[ICO_DOWN] (V),Averaged Signal Voltage of Fuel Pressure Sensor (V),Battery Temperature (degree C),Blower Switch (   ),Coolant Temperature-ENG_Block (degree C),Coolant Temperature-ENG_Head (degree C),Coolant Temperature(Voltage)-ENG_Block (V),Coolant Temperature(Voltage)-ENG_Head (V),Cruise Control State (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[0] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[1] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[2] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[3] (   ),Elec. Fuel Pump Relay (   ),Electrical Fuel Heater Relay Activated (   ),Engine Cooling Fan State (   ),Engine Operating State (   ),Engine Speed (rpm),Exhaust Temperature Sensor 0 Value-Upstream of the Turbo (degree C),Exhaust Temperature Sensor 0 Voltage-Upstream of the Turbo (V),Exhaust Temperature Sensor 1 Value-Upstream of Oxidation Catalyst (degree C),Exhaust Temperature Sensor 1 Voltage-Upstream of Oxidation Catalyst (V),Exhaust Temperature Sensor 2 Value-Upstream of DPF (degree C),Exhaust Temperature Sensor 2 Voltage-Upstream of DPF (V),Exhaust Temperature Sensor 3 Value-Upstream of the SCR (degree C),Exhaust Temperature Sensor 3 Voltage-Upstream of the SCR (V),Filtered Voltage from the Raw Voltage of Water in Fuel Analog Sensor (V),Fuel Correction by Injector Code-Cyl #1 (mg/stroke),Fuel Correction by Injector Code-Cyl #2 (mg/stroke),Fuel Correction by Injector Code-Cyl #3 (mg/stroke),Fuel Correction by Injector Code-Cyl #4 (mg/stroke),Fuel Pressure Set Point Value (MPa),Fuel Pressure Setpoint Maximum Limitation (MPa),Fuel Quantity (mg/stroke),Fuel Temperature Sensor (degree C),Gearbox Neutral Position Status Signal (   ),Immobilizer Status (   ),Intake Gas Temperature at HFM (degree C),Intake Gas Temperature Downstream Intercooler (degree C),Maximal Injection Time (ms),Oil Temperature (degree C),On-board Diagnosis State of the Gearbox by Gearbox Control Unit (   ),Oxygen Sensor Temperture 1 (Upstream) (degree C),Oxygen Sensor Temperture 2 (Downstream) (degree C),Position of Boost Pressure Actuator (%),Rail Pressure (MPa),Raw Voltage of Boost Pressure Sensor (V),Setpoint for the MAIN Injection Quantity (mg/stroke),Setpoint for the POST Injections Quantity[0] (mg/stroke),Setpoint for the POST Injections Quantity[1] (mg/stroke),Setpoint for the POST Injections Quantity[2] (mg/stroke),Setpoint for the PREV Injections Quantity[1] (mg/stroke),Setpoint for the PREV Injections Quantity[2] (mg/stroke),Speed Sensor Information Input State (   ),State of Charge (%),State of Function (V),State of Health (%),Status of Aftersales Particulate Filter Regeneration Process (   ),Status of Glow Control Unit (   ),Time Based Fuel Consumption (L/h),Value of Actual Absolute Brake Boost Pressure (hPa),Vehicle Speed (km/h),Voltage from Differential Pressure Sensor on EGR Valve (V),Voltage from Differential Pressure Sensor on Particulate Filter (V),Voltage Raw Value of Fuel Temperature (V)
790,16.625,2.391,2.129,1.177,24.750,ON,97.148,93.680,0.424,0.386,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1748,278.537,1.443,262.287,1.411,270.412,1.426,299.412,1.477,0,-0.608,0.912,0,-0.912,45.606,189.765,6.824,39,OFF,Learnt,22,27.266,8,101,0,801.500,799.812,70.726,45.648,1.793,4.428,0,0,0,1,1.144,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.193,931.658,98,1.025,1.040,1.653
791,19.750,2.386,2.129,1.196,24.750,ON,97.148,93.789,0.422,0.386,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1742,305.162,1.469,261.600,1.410,271.725,1.427,298.725,1.476,0,-0.608,0.912,0,-0.912,46.899,188.721,8.344,39,OFF,Learnt,22.094,27.266,8,101,0,801.500,799.812,71.005,46.887,1.686,6.056,0,0,0,1.040,1.260,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.171,932.902,98,1.052,1.041,1.652
792,2.375,2.382,2.131,1.199,24.750,ON,97.375,93.789,0.422,0.383,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1736,267.037,1.421,260.287,1.407,272.412,1.429,298.037,1.475,0,-0.608,0.912,0,-0.912,47.223,186.322,5.088,39,OFF,Learnt,22.195,27.211,8,101,0,801.500,801.500,71.365,47.223,1.707,3.076,0,0,0,1,1.068,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.146,931.658,97,1.036,1.033,1.653
793,-6.250,2.379,2.133,1.189,24.750,ON,97.375,93.680,0.424,0.383,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1742,255.537,1.401,257.600,1.403,273.787,1.432,297.350,1.473,0,-0.608,0.912,0,-0.912,46.716,188.159,5.776,39,OFF,Learnt,22.242,27.188,8,101,0,798.812,799.812,72.215,46.808,1.770,5.784,0,0,0,1.024,1.232,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.117,931.658,97,1.111,1.072,1.653
794,4.125,2.380,2.137,1.244,24.750,ON,97.484,93.680,0.424,0.382,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1741,261.600,1.412,255.537,1.399,275.100,1.434,296.600,1.472,0,-0.608,0.912,0,-0.912,51.721,187.280,5,39,OFF,Learnt,22.219,27.086,8,100,0,798.812,799.812,71.224,51.935,1.885,1.652,0,0,0,0.968,0.968,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.099,932.902,96,1.085,1.068,1.654
795,-23.875,2.388,2.141,1.160,24.750,ON,97.594,93.680,0.424,0.381,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1744,240.412,1.375,248.225,1.387,277.787,1.438,295.912,1.471,0,-0.608,0.912,0,-0.912,44.275,187.122,0.844,39,OFF,Learnt,22.070,27,8,101,0,799.812,801.500,72.574,46.820,1.769,1.980,0,0,0,1,1.008,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.049,931.658,96,1.117,1.090,1.654
796,6,2.385,2.148,1.180,24.750,ON,97.711,93.680,0.424,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1701,231.850,1.355,243.662,1.378,279.912,1.443,295.225,1.470,0,-0.608,0.912,0,-0.912,45.929,185.285,5.692,39,OFF,Learnt,22.117,26.844,8,100,0,801.500,801.500,71.796,45.886,1.702,3.644,0,0,0,1,1.100,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.024,932.902,95,1.012,1.019,1.654
797,7.875,2.373,2.155,1.188,24.750,ON,97.711,93.570,0.425,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1700,232.537,1.355,243.662,1.377,281.287,1.445,294.537,1.469,0,-0.608,0.912,0,-0.912,45.569,184.723,7.524,39,OFF,Learnt,22.367,26.711,8,100,0,803.750,801.500,68.514,45.654,1.851,6.872,0,0,0,1.104,1.352,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.002,932.902,95,1.049,1.039,1.654
798,54.375,2.379,2.152,1.553,24.750,ON,97.711,93.570,0.425,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1695,254.912,1.390,246.287,1.381,284.100,1.449,293.162,1.467,0,-0.608,0.912,0,-0.912,69.629,184.723,16.572,39,OFF,Learnt,22.242,26.766,8,100,0,803.750,799.812,61.118,69.403,1.422,10.580,0,10.248,0,1.484,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.995,932.902,95,1.030,1.053,1.655
799,1.125,2.383,2.162,1.336,24.750,ON,97.711,93.570,0.425,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Pull,1681,335.725,1.580,259.600,1.404,285.475,1.453,293.162,1.466,0,-0.608,0.912,0,-0.912,61.786,183.923,3.908,39,OFF,Learnt,22.172,26.555,8,100,0,796.750,801.500,71.863,62.775,1.761,0.900,0,0,0,0.868,0.868,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.988,932.902,94,1.060,1.045,1.655
800,-6.375,2.388,2.173,1.166,24.750,ON,97.711,93.680,0.424,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1648,309.475,1.494,260.287,1.409,287.537,1.456,292.475,1.466,0,-0.608,0.912,0,-0.912,44.647,182.562,6.072,39,OFF,Learnt,22.070,26.320,8,100,0,798.812,799.812,76.633,44.696,2.148,6.772,0.840,0,0,1.152,1.428,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.959,931.658,93,1.099,1.072,1.655
801,117.875,2.389,2.174,1.881,24.750,ON,97.711,93.680,0.424,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1677,330.537,1.520,258.225,1.404,290.350,1.460,292.475,1.465,0,-0.608,0.912,0,-0.912,90.204,183.923,22.956,39,OFF,Learnt,22.047,26.289,8,100,0,799.812,801.500,67.596,89.996,2.527,18.880,1.288,0,0,1.376,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.948,931.658,93,1.123,1.089,1.656
802,140,2.391,2.168,2.091,24.750,ON,97.711,93.680,0.424,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1691,349.037,1.555,262.975,1.412,292.475,1.465,291.725,1.464,0,-0.608,0.912,0,-0.912,102.918,185.761,26.436,39,OFF,Learnt,22,26.422,8,100,0,797.750,799.812,76.558,102.808,3.308,30.364,0,0,0,1.252,1.492,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.944,932.902,94,1.119,1.097,1.656
803,236.125,2.400,2.145,2.576,24.750,ON,97.711,93.789,0.422,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1722,399.725,1.628,273.787,1.431,294.537,1.469,291.037,1.462,0,-0.608,0.912,0,-0.912,139.270,187.921,45.452,39,OFF,Learnt,21.828,26.922,8,100,0,798.812,799.812,67.098,139.209,3.419,41.040,0,0,0,1.076,1.372,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.962,932.902,96,1.311,1.176,1.656
804,192.125,2.401,2.126,2.409,24.750,ON,97.711,94.242,0.417,0.380,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1744,453.850,1.719,284.100,1.448,295.912,1.471,291.037,1.462,0,-0.608,0.912,0,-0.912,129.346,190.082,35.012,39,OFF,Learnt,21.797,27.320,8,100,0,799.812,801.500,67.880,129.407,3.379,32.352,0,0,0,1.144,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.970,932.902,97,1.250,1.132,1.656
805,179.375,2.405,2.101,2.366,24.750,ON,97.820,94.352,0.416,0.378,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1775,673.350,1.986,291.725,1.462,295.912,1.471,290.350,1.461,0,-0.608,0.912,0,-0.912,125.708,192.163,32.880,39,OFF,Learnt,21.727,27.875,8,100,0,798.812,799.812,65.173,125.726,3.977,35.252,0,0,0,1.100,1.468,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.977,932.902,99,1.219,1.134,1.658
806,237.750,2.408,2.061,2.649,24.750,ON,97.820,92.336,0.438,0.378,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1801,513.475,1.801,300.850,1.477,295.912,1.471,289.662,1.460,0,-0.608,0.912,0,-0.912,145.007,194.562,45.080,39,OFF,Learnt,21.656,28.742,8,100,0,801.500,799.812,63.322,144.605,3.483,39.772,0,0,0,1.092,1.388,CAN and Hardwired,82.812,9.550,99.609,0,OFF,6.995,932.902,100,1.323,1.187,1.656
807,124.250,2.408,2.032,2.178,24.750,ON,98.047,89.430,0.470,0.376,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,1811,551.350,1.816,309.475,1.494,295.912,1.471,288.975,1.459,0,-0.608,0.912,0,-0.912,115.857,195.203,23.664,39,OFF,Learnt,21.656,29.352,8,100,0,801.500,799.812,66.881,116.400,2.510,20.164,0.788,0,0,1.332,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.002,932.902,101,1.165,1.110,1.658
