Measurement #,Actual Engine Torque Static at Clutch (Nm),Air Temperature Sensor Voltage[HFM] (V),Air Temperature Sensor Voltage[ICO_DOWN] (V),Averaged Signal Voltage of Fuel Pressure Sensor (V),Battery Temperature (degree C),Blower Switch (   ),Coolant Temperature-ENG_Block (degree C),Coolant Temperature-ENG_Head (degree C),Coolant Temperature(Voltage)-ENG_Block (V),Coolant Temperature(Voltage)-ENG_Head (V),Cruise Control State (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[0] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[1] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[2] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[3] (   ),Elec. Fuel Pump Relay (   ),Electrical Fuel Heater Relay Activated (   ),Engine Cooling Fan State (   ),Engine Operating State (   ),Engine Speed (rpm),Exhaust Temperature Sensor 0 Value-Upstream of the Turbo (degree C),Exhaust Temperature Sensor 0 Voltage-Upstream of the Turbo (V),Exhaust Temperature Sensor 1 Value-Upstream of Oxidation Catalyst (degree C),Exhaust Temperature Sensor 1 Voltage-Upstream of Oxidation Catalyst (V),Exhaust Temperature Sensor 2 Value-Upstream of DPF (degree C),Exhaust Temperature Sensor 2 Voltage-Upstream of DPF (V),Exhaust Temperature Sensor 3 Value-Upstream of the SCR (degree C),Exhaust Temperature Sensor 3 Voltage-Upstream of the SCR (V),Filtered Voltage from the Raw Voltage of Water in Fuel Analog Sensor (V),Fuel Correction by Injector Code-Cyl #1 (mg/stroke),Fuel Correction by Injector Code-Cyl #2 (mg/stroke),Fuel Correction by Injector Code-Cyl #3 (mg/stroke),Fuel Correction by Injector Code-Cyl #4 (mg/stroke),Fuel Pressure Set Point Value (MPa),Fuel Pressure Setpoint Maximum Limitation (MPa),Fuel Quantity (mg/stroke),Fuel Temperature Sensor (degree C),Gearbox Neutral Position Status Signal (   ),Immobilizer Status (   ),Intake Gas Temperature at HFM (degree C),Intake Gas Temperature Downstream Intercooler (degree C),Maximal Injection Time (ms),Oil Temperature (degree C),On-board Diagnosis State of the Gearbox by Gearbox Control Unit (   ),Oxygen Sensor Temperture 1 (Upstream) (degree C),Oxygen Sensor Temperture 2 (Downstream) (degree C),Position of Boost Pressure Actuator (%),Rail Pressure (MPa),Raw Voltage of Boost Pressure Sensor (V),Setpoint for the MAIN Injection Quantity (mg/stroke),Setpoint for the POST Injections Quantity[0] (mg/stroke),Setpoint for the POST Injections Quantity[1] (mg/stroke),Setpoint for the POST Injections Quantity[2] (mg/stroke),Setpoint for the PREV Injections Quantity[1] (mg/stroke),Setpoint for the PREV Injections Quantity[2] (mg/stroke),Speed Sensor Information Input State (   ),State of Charge (%),State of Function (V),State of Health (%),Status of Aftersales Particulate Filter Regeneration Process (   ),Status of Glow Control Unit (   ),Time Based Fuel Consumption (L/h),Value of Actual Absolute Brake Boost Pressure (hPa),Vehicle Speed (km/h),Voltage from Differential Pressure Sensor on EGR Valve (V),Voltage from Differential Pressure Sensor on Particulate Filter (V),Voltage Raw Value of Fuel Temperature (V)
1,128,2.401,1.840,2.588,24.750,ON,99.836,,,,,1.000,,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,,,,1.000,,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,,,1.000,,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,,1.000,,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,,,,,,,,,,,,,,,,,,,,,,,,,,
34,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,,,,,,,,,,,,,,,,,,,,,,,,,
35,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,,,,,,,,,,,,,,,,,,,,,,,,
36,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,,,,,,,,,,,,,,,,,,,,,,,
37,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,,,,,,,,,,,,,,,,,,,,,,
38,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,,,,,,,,,,,,,,,,,,,,,
39,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,,,,,,,,,,,,,,,,,,,,
40,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,,,,,,,,,,,,,,,,,,,
41,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,,,,,,,,,,,,,,,,,,
42,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,,,,,,,,,,,,,,,,,
43,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,,,,,,,,,,,,,,,,
44,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,,,,,,,,,,,,,,,
45,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,,,,,,,,,,,,,,
46,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,,,,,,,,,,,,,
47,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,,,,,,,,,,,,
48,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,,,,,,,,,,,
49,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,,,,,,,,,,
50,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,,,,,,,,,
51,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,,,,,,,,
52,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,,,,,,,
53,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,,,,,,
54,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,,,,,
55,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,932.902,,,,
56,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,932.902,134,,,
57,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,932.902,134,1.211,,
58,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,932.902,134,1.211,1.194,
59,128,2.401,1.840,2.588,24.750,ON,99.836,92.453,0.437,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,435.037,1.759,375.162,1.622,435.037,1.707,334.225,1.532,0,-0.608,0.912,0,-0.912,133.740,210.004,21.296,38,OFF,Learnt,21.797,33.977,8,104,0,801.500,803.750,54.886,134.039,2.216,13.320,1.492,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.269,932.902,134,1.211,1.194,1.671
60,124.625,2.399,1.918,2.541,24.750,ON,92.562,88.312,0.482,0.436,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2357,899.975,2.474,351.287,1.564,406.225,1.649,343.100,1.550,0,-0.608,0.912,0,-0.912,137.134,210.004,23.424,38,OFF,Learnt,21.852,32.086,8,103,0,799.812,798.812,54.312,137.183,2.388,20.104,0.864,0,0,1.100,1.456,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.190,934.146,132,1.260,1.195,1.670
61,133.250,2.400,1.924,2.607,24.750,ON,92,89.203,0.472,0.442,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2360,899.975,2.500,355.162,1.570,401.350,1.642,344.600,1.553,0,-0.608,0.912,0,-0.912,141.962,210.004,24.536,38,OFF,Learnt,21.828,31.930,8,103,0,799.812,801.500,55.103,142.078,2.599,22.220,0,0,0,1.100,1.456,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.194,934.146,132,1.213,1.200,1.670
62,138.375,2.401,1.929,2.640,24.750,ON,92.453,90.320,0.460,0.437,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2359,899.975,2.498,358.975,1.575,395.725,1.635,346.850,1.556,0,-0.608,0.912,0,-0.912,144.763,210.004,25.188,38,OFF,Learnt,21.797,31.812,8,103,0,799.812,799.812,56.238,144.891,2.468,22.792,0,0,0,1.100,1.456,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.197,934.146,132,1.294,1.195,1.670
63,144.625,2.402,1.934,2.600,24.750,ON,93.344,91.328,0.449,0.427,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2363,899.975,1.951,361.287,1.580,391.725,1.628,349.037,1.559,0,-0.608,0.912,0,-0.912,134.357,210.004,26.416,38,OFF,Learnt,21.773,31.695,8,103,0,801.500,801.500,54.242,135.516,2.694,24.012,0,0,0,1.100,1.456,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.190,934.146,132,1.241,1.196,1.670
64,96,2.402,1.936,2.445,24.750,ON,94.125,92.117,0.441,0.419,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2377,652.600,1.938,359.725,1.577,387.787,1.621,350.537,1.563,0,-0.608,0.912,0,-0.912,125.342,210.004,17.980,38,OFF,Learnt,21.773,31.633,8,104,0,798.812,799.812,53.751,125.903,2.739,24.964,0,0,0,1.100,1.464,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.186,934.146,132,1.262,1.199,1.669
65,94.375,2.404,1.936,2.296,24.750,ON,94.914,93.125,0.430,0.410,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2335,746.225,2.070,356.662,1.573,383.850,1.615,352.100,1.565,0,-0.608,0.912,0,-0.912,124.915,210.004,17.668,38,OFF,Learnt,21.750,31.633,8,104,0,798.812,799.812,55.248,125.342,2.925,12.264,1.480,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.183,934.146,132,1.268,1.206,1.670
66,91.750,2.405,1.934,2.278,24.750,ON,95.469,93.789,0.422,0.404,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2388,620.600,1.934,351.287,1.565,379.912,1.610,353.600,1.567,0,-0.608,0.912,0,-0.912,123.877,210.004,17.072,38,OFF,Learnt,21.727,31.695,8,104,0,797.750,799.812,55.885,124.524,3.190,26.268,0,0,0,1.100,1.456,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.190,935.307,132,1.254,1.187,1.670
